Brand,Outdoor Model,Coil/Air Handler,Furnace,AHRI Number,Size,SEER2,HSPF2,Finance,25C Tax Credit
PAYNE,CVAVA4824XMA*,CVAVA4824XMA*,CVAVA4824XMA*,217588221,46000,14.5,,,No
PAYNE,CVAVA4824XMA*,CVAVA4824XMA*,CVAVA4824XMA*,217588220,46000,14.5,,,No
PAYNE,CVAVA4821XMA*,CVAVA4821XMA*,CVAVA4821XMA*,217588196,45500,14.3,,,No
PAYNE,CVAVA4821XMA*,CVAVA4821XMA*,CVAVA4821XMA*,217588195,45500,14.3,,,No
PAYNE,CVAVA4821XMA*,CVAVA4821XMA*,CVAVA4821XMA*,217588194,45500,14.3,,,No
PAYNE,CVAMA6024XMA*,CVAMA6024XMA*,CVAMA6024XMA*,217588169,47000,14.5,,,No
PAYNE,CVAMA6024XMA*,CVAMA6024XMA*,CVAMA6024XMA*,217588168,47000,14.5,,,No
PAYNE,CVAMA6024XMA*,CVAMA6024XMA*,CVAMA6024XMA*,217588167,47000,14.5,,,No
PAYNE,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588143,46500,14.3,,,No
PAYNE,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588142,46500,14.3,,,No
