Brand,Outdoor Model,Coil/Air Handler,Furnace,AHRI Number,Size,SEER2,HSPF2,Finance,25C Tax Credit
CARRIER,GA5SAN536**WA*,CSAH*4812AM*,58CU*B100C21**20,217586539,33800,15.5,,,No
CARRIER,26SPA636W**30*,CSAH*4812AM*,58CU*B100C21**20,217586538,33800,15.5,,,No
CARRIER,26SCA536W**30*,CSAH*4812AM*,58CU*B100C21**20,217586537,33800,15.5,,,No
CARRIER,GA5SAN536**WA*,CSAH*4212AM*,59TN7A120C24**22,217586513,33800,15.5,,,No
CARRIER,26SPA636W**30*,CSAH*4212AM*,59TN7A120C24**22,217586512,33800,15.5,,,No
CARRIER,26SCA536W**30*,CSAH*4212AM*,59TN7A120C24**22,217586511,33800,15.5,,,No
CARRIER,GA5SAN536**WA*,CSAH*3612AM*,59TP7A080V17**16,217586484,33600,15,,,No
CARRIER,26SPA636W**30*,CSAH*3612AM*,59TP7A080V17**16,217586483,33600,15,,,No
CARRIER,26SCA536W**30*,CSAH*3612AM*,59TP7A080V17**16,217586482,33600,15,,,No
CARRIER,GA5SAN536**WA*,CAA**4821AM*,59TP7A100V21**22,217586460,33400,16,,,No
CARRIER,26SPA636W**30*,CAA**4821AM*,59TP7A100V21**22,217586459,33400,16,,,No
CARRIER,26SCA536W**30*,CAA**4821AM*,59TP7A100V21**22,217586458,33400,16,,,No
CARRIER,GA5SAN536**WA*,CAA**4321AM*,58CU*B080C21**20,217586434,34000,16,,,No
CARRIER,26SPA636W**30*,CAA**4321AM*,58CU*B080C21**20,217586433,34000,16,,,No
CARRIER,26SCA536W**30*,CAA**4321AM*,58CU*B080C21**20,217586432,34000,16,,,No
CARRIER,GA5SAN536**WA*,CAA**4221AM*,59TN7A060C17**16,217586408,32800,15,,,No
CARRIER,26SPA636W**30*,CAA**4221AM*,59TN7A060C17**16,217586407,32800,15,,,No
CARRIER,26SCA536W**30*,CAA**4221AM*,59TN7A060C17**16,217586406,32800,15,,,No
CARRIER,GA5SAN536**WA*,CAA**3721AM*,59TN7A080C17**16,217586382,34000,15.5,,,No
CARRIER,26SPA636W**30*,CAA**3721AM*,59TN7A080C17**16,217586381,34000,15.5,,,No
CARRIER,26SCA536W**30*,CAA**3721AM*,59TN7A080C17**16,217586380,34000,15.5,,,No
CARRIER,GA5SAN530**WA*,CVAVA4224XMA*,58CU*B080C21**20,217586156,29800,16,,,No
CARRIER,26SPA630W**30*,CVAVA4224XMA*,58CU*B080C21**20,217586155,29800,16,,,No
CARRIER,26SCA530W**30*,CVAVA4224XMA*,58CU*B080C21**20,217586154,29800,16,,,No
CARRIER,GA5SAN530**WA*,CVAVA4221XMA*,59TP7A080V17**16,217586127,28400,15,,,No
CARRIER,26SPA630W**30*,CVAVA4221XMA*,59TP7A080V17**16,217586126,28400,15,,,No
CARRIER,26SCA530W**30*,CVAVA4221XMA*,59TP7A080V17**16,217586125,28400,15,,,No
CARRIER,GA5SAN530**WA*,CVAVA4221XMA*,59TN7A060C17**16,217586101,28200,15,,,No
CARRIER,26SPA630W**30*,CVAVA4221XMA*,59TN7A060C17**16,217586100,28200,15,,,No
CARRIER,26SCA530W**30*,CVAVA4221XMA*,59TN7A060C17**16,217586099,28200,15,,,No
CARRIER,GA5SAN530**WA*,CVAVA4221XMA*,58CU*B060C17**16,217586075,28400,15,,,No
CARRIER,26SPA630W**30*,CVAVA4221XMA*,58CU*B060C17**16,217586074,28400,15,,,No
CARRIER,26SCA530W**30*,CVAVA4221XMA*,58CU*B060C17**16,217586073,28400,15,,,No
CARRIER,GA5SAN530**WA*,CVAVA4217XMA*,59TN7A060C17**16,217586049,28400,15,,,No
CARRIER,26SPA630W**30*,CVAVA4217XMA*,59TN7A060C17**16,217586048,28400,15,,,No
CARRIER,26SCA530W**30*,CVAVA4217XMA*,59TN7A060C17**16,217586047,28400,15,,,No
CARRIER,GA5SAN530**WA*,CVAVA3721XMA*,59TP7A100V21**22,217586025,29400,16,,,No
CARRIER,26SPA630W**30*,CVAVA3721XMA*,59TP7A100V21**22,217586024,29400,16,,,No
CARRIER,26SCA530W**30*,CVAVA3721XMA*,59TP7A100V21**22,217586023,29400,16,,,No
CARRIER,GA5SAN530**WA*,CVAVA3721XMA*,59TP7A080V21**20,217585998,29200,15.5,,,No
CARRIER,26SPA630W**30*,CVAVA3721XMA*,59TP7A080V21**20,217585997,29200,15.5,,,No
CARRIER,26SCA530W**30*,CVAVA3721XMA*,59TP7A080V21**20,217585996,29200,15.5,,,No
CARRIER,GA5SAN530**WA*,CVAVA3621XMA*,59TP7A080V17**16,217585969,28400,15,,,No
CARRIER,26SPA630W**30*,CVAVA3621XMA*,59TP7A080V17**16,217585968,28400,15,,,No
CARRIER,26SCA530W**30*,CVAVA3621XMA*,59TP7A080V17**16,217585967,28400,15,,,No
CARRIER,GA5SAN530**WA*,CVAVA3621XMA*,58CU*B060C17**16,217585943,28400,15,,,No
CARRIER,26SPA630W**30*,CVAVA3621XMA*,58CU*B060C17**16,217585942,28400,15,,,No
CARRIER,26SCA530W**30*,CVAVA3621XMA*,58CU*B060C17**16,217585941,28400,15,,,No
CARRIER,GA5SAN530**WA*,CVAVA3117XMA*,58CU*B060C17**16,217585917,29000,16,,,No
CARRIER,26SPA630W**30*,CVAVA3117XMA*,58CU*B060C17**16,217585916,29000,16,,,No
CARRIER,26SCA530W**30*,CVAVA3117XMA*,58CU*B060C17**16,217585915,29000,16,,,No
CARRIER,GA5SAN530**WA*,CVAVA3017XMA*,59TN7A080C17**16,217585891,28600,15,,,No
CARRIER,26SPA630W**30*,CVAVA3017XMA*,59TN7A080C17**16,217585890,28600,15,,,No
CARRIER,26SCA530W**30*,CVAVA3017XMA*,59TN7A080C17**16,217585889,28600,15,,,No
CARRIER,GA5SAN530**WA*,CVAMA4221XMA*,59TP7A080V17**16,217585862,28400,15,,,No
CARRIER,26SPA630W**30*,CVAMA4221XMA*,59TP7A080V17**16,217585861,28400,15,,,No
CARRIER,26SCA530W**30*,CVAMA4221XMA*,59TP7A080V17**16,217585860,28400,15,,,No
CARRIER,GA5SAN530**WA*,CVAMA3117XMA*,59TP7A080V17**16,217585833,29000,15.5,,,No
CARRIER,26SPA630W**30*,CVAMA3117XMA*,59TP7A080V17**16,217585832,29000,15.5,,,No
CARRIER,26SCA530W**30*,CVAMA3117XMA*,59TP7A080V17**16,217585831,29000,15.5,,,No
CARRIER,GA5SAN524**WA*,CVAVA3721XMA*,59TP7A060V17**16,217585412,23600,16,,,No
CARRIER,26SPA624W**30*,CVAVA3721XMA*,59TP7A060V17**16,217585411,23600,16,,,No
CARRIER,26SCA524W**30*,CVAVA3721XMA*,59TP7A060V17**16,217585410,23600,16,,,No
CARRIER,GA5SAN524**WA*,CVAVA3721XMA*,59TN7A100C21**22,217585386,23600,16.5,,,No
CARRIER,26SPA624W**30*,CVAVA3721XMA*,59TN7A100C21**22,217585385,23600,16.5,,,No
CARRIER,26SCA524W**30*,CVAVA3721XMA*,59TN7A100C21**22,217585384,23600,16.5,,,No
CARRIER,GA5SAN524**WA*,CVAVA3721XMA*,59TN7A080C21**20,217585359,23600,16.5,,,No
CARRIER,26SPA624W**30*,CVAVA3721XMA*,59TN7A080C21**20,217585358,23600,16.5,,,No
CARRIER,26SCA524W**30*,CVAVA3721XMA*,59TN7A080C21**20,217585357,23600,16.5,,,No
CARRIER,GA5SAN524**WA*,CVAVA3721XMA*,59TN7A080C17**16,217585333,23200,16,,,No
CARRIER,26SPA624W**30*,CVAVA3721XMA*,59TN7A080C17**16,217585332,23200,16,,,No
